SubjectID,Condition,AgeGroup,BlockOrder,Trial,ModelInput,Choice,Accuracy,Feedback,Target,Contingent,Accuracy_Binary,Reward_Binary
200,IB,1,1,1,1,0,2,2,1,1,0,0
200,IB,1,1,2,1,1,1,1,1,1,1,1
200,IB,1,1,3,1,1,1,1,1,1,1,1
200,IB,1,1,4,1,1,1,1,1,1,1,1
200,IB,1,1,5,1,1,1,1,1,1,1,1
200,IB,1,1,6,0,1,1,2,1,0,1,0
200,IB,1,1,7,1,0,2,2,1,1,0,0
200,IB,1,1,8,1,0,2,2,1,1,0,0
200,IB,1,1,9,1,1,1,1,1,1,1,1
200,IB,1,1,10,1,1,1,1,1,1,1,1
200,IB,1,1,11,1,1,1,1,1,1,1,1
200,IB,1,1,12,0,1,2,2,2,1,0,0
200,IB,1,1,13,0,1,2,2,2,1,0,0
200,IB,1,1,14,0,0,1,1,2,1,1,1
200,IB,1,1,15,0,0,1,1,2,1,1,1
200,IB,1,1,16,0,0,1,1,2,1,1,1
200,IB,1,1,17,1,0,1,2,2,0,1,0
200,IB,1,1,18,1,1,1,1,1,1,1,1
200,IB,1,1,19,1,1,1,1,1,1,1,1
200,IB,1,1,20,1,0,2,2,1,1,0,0
200,IB,1,1,21,1,1,1,1,1,1,1,1
200,IB,1,1,22,0,1,1,2,1,0,1,0
200,IB,1,1,23,1,0,2,2,1,1,0,0
200,IB,1,1,24,1,0,2,2,1,1,0,0
200,IB,1,1,25,1,1,1,1,1,1,1,1
200,IB,1,1,26,1,1,1,1,1,1,1,1
200,IB,1,1,27,1,1,1,1,1,1,1,1
200,IB,1,1,28,0,1,2,2,2,1,0,0
200,IB,1,1,29,0,0,1,1,2,1,1,1
200,IB,1,1,30,0,0,1,1,2,1,1,1
200,IB,1,1,31,0,1,2,2,2,1,0,0
200,IB,1,1,32,1,0,1,2,2,0,1,0
200,IB,1,1,33,0,1,2,2,2,1,0,0
200,IB,1,1,34,1,0,1,2,2,0,1,0
200,IB,1,1,35,0,0,1,1,2,1,1,1
200,IB,1,1,36,0,0,1,1,2,1,1,1
200,IB,1,1,37,1,0,2,2,1,1,0,0
200,IB,1,1,38,0,1,1,2,1,0,1,0
200,IB,1,1,39,1,0,2,2,1,1,0,0
200,IB,1,1,40,1,1,1,1,1,1,1,1
200,IB,1,1,41,1,1,1,1,1,1,1,1
200,IB,1,1,42,1,1,1,1,1,1,1,1
200,IB,1,1,43,0,1,1,2,1,0,1,0
200,IB,1,1,44,1,1,1,1,1,1,1,1
200,IB,1,1,45,0,1,2,2,2,1,0,0
200,IB,1,1,46,0,0,1,1,2,1,1,1
200,IB,1,1,47,1,1,2,1,2,0,0,1
200,IB,1,1,48,0,1,2,2,2,1,0,0
200,IB,1,1,49,0,1,2,2,2,1,0,0
200,IB,1,1,50,1,0,1,2,2,0,1,0
200,IB,1,1,51,0,1,2,2,2,1,0,0
200,IB,1,1,52,0,0,1,1,2,1,1,1
200,IB,1,1,53,0,0,1,1,2,1,1,1
200,IB,1,1,54,0,0,1,1,2,1,1,1
200,IB,1,1,55,1,1,1,1,1,1,1,1
200,IB,1,1,56,1,0,2,2,1,1,0,0
200,IB,1,1,57,0,1,1,2,1,0,1,0
200,IB,1,1,58,1,0,2,2,1,1,0,0
200,IB,1,1,59,0,0,2,1,1,0,0,1
200,IB,1,1,60,1,1,1,1,1,1,1,1
200,IB,1,1,61,0,1,1,2,1,0,1,0
200,IB,1,1,62,0,0,2,1,1,0,0,1
200,IB,1,1,63,0,0,2,1,1,0,0,1
200,IB,1,1,64,1,0,2,2,1,1,0,0
200,IB,1,1,65,1,1,1,1,1,1,1,1
200,IB,1,1,66,1,1,1,1,1,1,1,1
200,IB,1,1,67,1,0,2,2,1,1,0,0
200,IB,1,1,68,1,1,1,1,1,1,1,1
200,IB,1,1,69,1,1,1,1,1,1,1,1
200,IB,1,1,70,1,1,1,1,1,1,1,1
200,IB,1,1,71,0,1,2,2,2,1,0,0
200,IB,1,1,72,0,0,1,1,2,1,1,1
200,IB,1,1,73,0,1,2,2,2,1,0,0
200,IB,1,1,74,0,0,1,1,2,1,1,1
200,IB,1,1,75,1,0,1,2,2,0,1,0
200,IB,1,1,76,0,0,1,1,2,1,1,1
200,IB,1,1,77,1,0,2,2,1,1,0,0
